User_ID,Install_Date,Campaign_ID,Device,Country,Age_Group,App_Version
U00001,2024-06-12,C001,Android,UK,18-24,v2.2
U00002,2024-05-19,C001,iOS,UK,18-24,v2.3
U00003,2024-01-07,C003,Android,Australia,25-34,v2.3
U00004,2024-03-12,C005,iOS,Germany,35-44,v2.3
U00005,2024-02-09,C001,Android,UK,25-34,v2.3
U00006,2024-03-29,C004,Android,Australia,25-34,v2.4
U00007,2024-04-06,C001,iOS,Canada,45-54,v2.3
U00008,2024-02-19,C004,iOS,UK,25-34,v2.1
U00009,2024-02-29,C005,iOS,USA,45-54,v2.2
U00010,2024-03-31,C001,iOS,India,35-44,v2.3
U00011,2024-02-13,C003,iOS,USA,25-34,v2.4
U00012,2024-06-25,C003,Android,France,35-44,v2.2
U00013,2024-01-09,C005,iOS,UK,45-54,v2.3
U00014,2024-03-21,C001,iOS,India,35-44,v2.2
U00015,2024-02-05,C001,iOS,USA,35-44,v2.4
U00016,2024-04-12,C002,Android,UK,25-34,v2.4
U00017,2024-01-29,C001,iOS,Australia,35-44,v2.3
U00018,2024-06-01,C006,iOS,Singapore,45-54,v2.1
U00019,2024-01-30,C004,iOS,USA,35-44,v2.2
U00020,2024-04-21,C001,iOS,Australia,35-44,v2.4
U00021,2024-02-15,C003,iOS,Canada,45-54,v2.3
U00022,2024-02-20,C001,Android,USA,35-44,v2.3
U00023,2024-01-01,C004,iOS,UK,25-34,v2.4
U00024,2024-03-19,C001,iOS,Canada,18-24,v2.4
U00025,2024-01-18,C006,iOS,UK,35-44,v2.4
U00026,2024-02-12,C002,Android,USA,18-24,v2.3
U00027,2024-06-25,C001,iOS,Singapore,35-44,v2.3
U00028,2024-05-12,C002,iOS,UK,18-24,v2.3
U00029,2024-05-30,C001,iOS,Canada,18-24,v2.4
U00030,2024-03-25,C001,iOS,Australia,18-24,v2.2
U00031,2024-05-26,C003,iOS,USA,25-34,v2.1
U00032,2024-06-17,C002,iOS,USA,35-44,v2.4
U00033,2024-06-14,C001,iOS,USA,45-54,v2.2
U00034,2024-02-18,C003,iOS,UK,25-34,v2.4
U00035,2024-01-20,C002,Android,Canada,18-24,v2.4
U00036,2024-01-04,C006,Android,France,18-24,v2.3
U00037,2024-02-24,C005,Android,UK,18-24,v2.3
U00038,2024-04-26,C002,Android,Germany,35-44,v2.4
U00039,2024-05-04,C001,iOS,Singapore,35-44,v2.3
U00040,2024-03-21,C001,Android,USA,45-54,v2.2
U00041,2024-05-10,C001,iOS,Canada,35-44,v2.2
U00042,2024-01-31,C006,iOS,Canada,18-24,v2.1
U00043,2024-06-17,C003,iOS,India,18-24,v2.4
U00044,2024-03-02,C002,iOS,Canada,25-34,v2.4
U00045,2024-01-19,C001,Android,Canada,18-24,v2.3
U00046,2024-05-09,C002,Android,India,45-54,v2.3
U00047,2024-02-10,C002,iOS,USA,55+,v2.4
U00048,2024-05-15,C001,Android,USA,35-44,v2.4
U00049,2024-02-04,C002,Android,Germany,18-24,v2.2
U00050,2024-02-23,C004,iOS,Canada,25-34,v2.3
U00051,2024-01-14,C001,iOS,USA,18-24,v2.4
U00052,2024-06-12,C006,iOS,USA,35-44,v2.3
U00053,2024-01-29,C001,Android,India,25-34,v2.4
U00054,2024-05-29,C003,iOS,UK,25-34,v2.4
U00055,2024-01-11,C006,iOS,UK,18-24,v2.4
U00056,2024-04-14,C006,Android,India,18-24,v2.2
U00057,2024-02-15,C006,iOS,Germany,25-34,v2.4
U00058,2024-06-20,C005,Android,USA,35-44,v2.2
U00059,2024-01-10,C005,iOS,France,25-34,v2.3
U00060,2024-02-28,C001,Android,USA,25-34,v2.1
U00061,2024-03-12,C002,iOS,Australia,45-54,v2.3
U00062,2024-01-08,C001,Android,UK,55+,v2.2
U00063,2024-01-28,C004,iOS,Germany,25-34,v2.4
U00064,2024-01-30,C002,iOS,USA,35-44,v2.1
U00065,2024-05-17,C004,Android,Germany,18-24,v2.3
U00066,2024-06-19,C006,Android,Australia,18-24,v2.4
U00067,2024-05-09,C002,iOS,USA,25-34,v2.2
U00068,2024-04-17,C004,iOS,Germany,18-24,v2.3
U00069,2024-04-13,C003,iOS,USA,25-34,v2.3
U00070,2024-06-16,C002,iOS,Australia,25-34,v2.4
U00071,2024-02-13,C004,iOS,Australia,35-44,v2.1
U00072,2024-03-01,C004,iOS,UK,18-24,v2.2
U00073,2024-05-01,C004,Android,USA,45-54,v2.3
U00074,2024-06-27,C002,iOS,UK,35-44,v2.4
U00075,2024-01-28,C005,iOS,Germany,35-44,v2.3
U00076,2024-05-22,C001,Android,USA,45-54,v2.4
U00077,2024-05-23,C004,Android,India,35-44,v2.4
U00078,2024-05-09,C002,Android,USA,18-24,v2.4
U00079,2024-04-25,C002,iOS,Canada,35-44,v2.3
U00080,2024-06-09,C001,iOS,Australia,18-24,v2.3
U00081,2024-05-18,C001,iOS,USA,18-24,v2.2
U00082,2024-04-16,C002,iOS,USA,18-24,v2.3
U00083,2024-05-29,C006,iOS,India,35-44,v2.3
U00084,2024-03-31,C002,iOS,India,45-54,v2.3
U00085,2024-05-19,C005,Android,USA,25-34,v2.3
U00086,2024-04-09,C002,Android,USA,18-24,v2.3
U00087,2024-02-02,C006,iOS,India,35-44,v2.4
U00088,2024-01-22,C004,iOS,USA,18-24,v2.3
U00089,2024-02-24,C002,iOS,France,25-34,v2.4
U00090,2024-04-17,C002,iOS,UK,25-34,v2.4
U00091,2024-03-30,C001,iOS,Singapore,18-24,v2.1
U00092,2024-03-04,C001,iOS,UK,18-24,v2.4
U00093,2024-05-24,C006,iOS,USA,25-34,v2.3
U00094,2024-01-30,C005,iOS,USA,35-44,v2.4
U00095,2024-05-27,C004,Android,USA,35-44,v2.1
U00096,2024-06-25,C005,iOS,Australia,25-34,v2.4
U00097,2024-01-31,C005,iOS,UK,25-34,v2.4
U00098,2024-01-18,C003,iOS,France,45-54,v2.2
U00099,2024-04-02,C004,Android,Australia,25-34,v2.4
U00100,2024-06-15,C002,Android,USA,25-34,v2.3
U00101,2024-05-31,C002,Android,France,18-24,v2.4
U00102,2024-03-03,C004,iOS,Australia,25-34,v2.3
U00103,2024-03-24,C001,iOS,Germany,25-34,v2.4
U00104,2024-06-28,C006,iOS,USA,18-24,v2.2
U00105,2024-04-14,C003,Android,Australia,35-44,v2.3
U00106,2024-01-05,C001,iOS,Australia,25-34,v2.3
U00107,2024-05-01,C003,iOS,Singapore,25-34,v2.3
U00108,2024-04-26,C002,iOS,UK,18-24,v2.2
U00109,2024-05-17,C006,Android,UK,35-44,v2.2
U00110,2024-05-30,C006,iOS,USA,18-24,v2.2
U00111,2024-02-28,C002,iOS,Australia,18-24,v2.1
U00112,2024-01-14,C003,Android,UK,45-54,v2.3
U00113,2024-01-04,C003,iOS,USA,18-24,v2.1
U00114,2024-05-02,C001,iOS,USA,35-44,v2.4
U00115,2024-02-08,C001,iOS,USA,55+,v2.2
U00116,2024-04-16,C004,Android,UK,25-34,v2.3
U00117,2024-04-23,C002,Android,USA,25-34,v2.1
U00118,2024-01-26,C006,iOS,UK,35-44,v2.2
U00119,2024-02-14,C003,iOS,USA,35-44,v2.3
U00120,2024-01-09,C001,Android,Australia,25-34,v2.4
U00121,2024-03-08,C005,Android,Australia,55+,v2.3
U00122,2024-05-19,C001,iOS,USA,18-24,v2.1
U00123,2024-03-19,C004,Android,India,25-34,v2.3
U00124,2024-03-18,C004,Android,USA,25-34,v2.1
U00125,2024-01-11,C006,Android,Canada,18-24,v2.2
U00126,2024-06-21,C005,iOS,Singapore,55+,v2.4
U00127,2024-03-09,C003,Android,UK,25-34,v2.3
U00128,2024-03-12,C001,Android,Canada,25-34,v2.1
U00129,2024-03-30,C002,iOS,UK,18-24,v2.3
U00130,2024-05-06,C002,Android,France,25-34,v2.3
U00131,2024-03-21,C002,iOS,Germany,45-54,v2.4
U00132,2024-01-01,C004,iOS,USA,18-24,v2.3
U00133,2024-05-07,C004,Android,UK,25-34,v2.4
U00134,2024-04-22,C006,iOS,UK,35-44,v2.4
U00135,2024-06-30,C001,iOS,Canada,18-24,v2.4
U00136,2024-01-30,C002,iOS,France,25-34,v2.4
U00137,2024-05-10,C004,iOS,USA,25-34,v2.3
U00138,2024-02-07,C002,Android,USA,45-54,v2.4
U00139,2024-03-11,C005,Android,USA,35-44,v2.2
U00140,2024-01-01,C002,iOS,Canada,55+,v2.3
U00141,2024-02-08,C002,iOS,USA,35-44,v2.3
U00142,2024-03-23,C005,Android,UK,25-34,v2.4
U00143,2024-04-15,C001,Android,Australia,45-54,v2.3
U00144,2024-06-18,C005,Android,UK,55+,v2.2
U00145,2024-05-31,C002,iOS,France,18-24,v2.4
U00146,2024-01-04,C004,iOS,Australia,18-24,v2.3
U00147,2024-03-08,C002,Android,Canada,45-54,v2.4
U00148,2024-05-16,C002,iOS,Australia,35-44,v2.4
U00149,2024-01-10,C004,iOS,Australia,25-34,v2.2
U00150,2024-01-24,C002,iOS,Canada,45-54,v2.3
U00151,2024-06-26,C002,iOS,USA,18-24,v2.3
U00152,2024-04-20,C001,iOS,Canada,45-54,v2.2
U00153,2024-01-21,C004,iOS,Australia,25-34,v2.3
U00154,2024-02-29,C002,iOS,USA,18-24,v2.4
U00155,2024-03-14,C004,iOS,USA,25-34,v2.3
U00156,2024-06-12,C006,Android,USA,25-34,v2.4
U00157,2024-05-03,C001,iOS,USA,25-34,v2.4
U00158,2024-01-06,C006,Android,USA,25-34,v2.4
U00159,2024-01-13,C006,Android,France,45-54,v2.4
U00160,2024-02-28,C004,iOS,Canada,35-44,v2.4
U00161,2024-06-17,C004,iOS,UK,35-44,v2.1
U00162,2024-04-22,C001,iOS,UK,45-54,v2.3
U00163,2024-04-16,C001,iOS,USA,55+,v2.3
U00164,2024-03-10,C005,iOS,France,25-34,v2.4
U00165,2024-03-27,C005,iOS,UK,35-44,v2.2
U00166,2024-06-22,C004,Android,Singapore,45-54,v2.3
U00167,2024-04-11,C001,iOS,USA,35-44,v2.4
U00168,2024-05-29,C002,Android,USA,35-44,v2.3
U00169,2024-06-07,C006,iOS,India,18-24,v2.1
U00170,2024-04-28,C006,iOS,USA,18-24,v2.4
U00171,2024-03-18,C006,iOS,UK,25-34,v2.3
U00172,2024-04-04,C004,Android,India,25-34,v2.4
U00173,2024-02-09,C006,Android,France,35-44,v2.4
U00174,2024-03-12,C001,iOS,USA,55+,v2.4
U00175,2024-01-26,C006,iOS,India,35-44,v2.1
U00176,2024-03-11,C001,iOS,France,25-34,v2.4
U00177,2024-06-13,C004,Android,UK,25-34,v2.4
U00178,2024-05-24,C001,Android,Canada,35-44,v2.4
U00179,2024-02-29,C002,iOS,India,18-24,v2.4
U00180,2024-02-07,C006,iOS,Germany,18-24,v2.4
U00181,2024-02-03,C001,Android,UK,25-34,v2.2
U00182,2024-01-14,C001,iOS,UK,18-24,v2.3
U00183,2024-04-02,C003,iOS,USA,55+,v2.1
U00184,2024-06-17,C003,iOS,Singapore,18-24,v2.3
U00185,2024-04-12,C002,iOS,Australia,25-34,v2.4
U00186,2024-03-23,C004,iOS,USA,35-44,v2.3
U00187,2024-03-24,C002,Android,USA,25-34,v2.3
U00188,2024-06-28,C001,Android,France,25-34,v2.4
U00189,2024-04-20,C002,iOS,USA,25-34,v2.3
