Event_ID,User_ID,Event_Type,Event_Date,Days_Since_Install
E0000001,U00001,Install,2024-06-12,0
E0000002,U00002,Install,2024-05-19,0
E0000003,U00002,Signup,2024-05-19,0
E0000004,U00002,Onboarding,2024-05-20,1
E0000005,U00002,First_Action,2024-05-22,3
E0000006,U00002,Day1_Active,2024-05-23,4
E0000007,U00003,Install,2024-01-07,0
E0000008,U00004,Install,2024-03-12,0
E0000009,U00004,Signup,2024-03-12,0
E0000010,U00005,Install,2024-02-09,0
E0000011,U00005,Signup,2024-02-09,0
E0000012,U00006,Install,2024-03-29,0
E0000013,U00006,Signup,2024-03-29,0
E0000014,U00006,Onboarding,2024-03-30,1
E0000015,U00007,Install,2024-04-06,0
E0000016,U00008,Install,2024-02-19,0
E0000017,U00008,Signup,2024-02-19,0
E0000018,U00008,Onboarding,2024-02-20,1
E0000019,U00008,First_Action,2024-02-22,3
E0000020,U00008,Day1_Active,2024-02-23,4
E0000021,U00008,Day7_Active,2024-02-29,10
E0000022,U00009,Install,2024-02-29,0
E0000023,U00009,Signup,2024-02-29,0
E0000024,U00010,Install,2024-03-31,0
E0000025,U00010,Signup,2024-03-31,0
E0000026,U00010,Onboarding,2024-04-01,1
E0000027,U00010,First_Action,2024-04-03,3
E0000028,U00011,Install,2024-02-13,0
E0000029,U00011,Signup,2024-02-13,0
E0000030,U00012,Install,2024-06-25,0
E0000031,U00012,Signup,2024-06-25,0
E0000032,U00012,Onboarding,2024-06-26,1
E0000033,U00013,Install,2024-01-09,0
E0000034,U00013,Signup,2024-01-09,0
E0000035,U00013,Onboarding,2024-01-10,1
E0000036,U00013,First_Action,2024-01-12,3
E0000037,U00013,Day1_Active,2024-01-13,4
E0000038,U00014,Install,2024-03-21,0
E0000039,U00014,Signup,2024-03-21,0
E0000040,U00014,Onboarding,2024-03-22,1
E0000041,U00015,Install,2024-02-05,0
E0000042,U00015,Signup,2024-02-05,0
E0000043,U00015,Onboarding,2024-02-06,1
E0000044,U00016,Install,2024-04-12,0
E0000045,U00016,Signup,2024-04-12,0
E0000046,U00017,Install,2024-01-29,0
E0000047,U00017,Signup,2024-01-29,0
E0000048,U00017,Onboarding,2024-01-30,1
E0000049,U00018,Install,2024-06-01,0
E0000050,U00018,Signup,2024-06-01,0
E0000051,U00019,Install,2024-01-30,0
E0000052,U00019,Signup,2024-01-30,0
E0000053,U00020,Install,2024-04-21,0
E0000054,U00020,Signup,2024-04-21,0
E0000055,U00020,Onboarding,2024-04-22,1
E0000056,U00020,First_Action,2024-04-24,3
E0000057,U00020,Day1_Active,2024-04-25,4
E0000058,U00020,Day7_Active,2024-05-01,10
E0000059,U00021,Install,2024-02-15,0
E0000060,U00021,Signup,2024-02-15,0
E0000061,U00022,Install,2024-02-20,0
E0000062,U00023,Install,2024-01-01,0
E0000063,U00023,Signup,2024-01-01,0
E0000064,U00023,Onboarding,2024-01-02,1
E0000065,U00024,Install,2024-03-19,0
E0000066,U00024,Signup,2024-03-19,0
E0000067,U00024,Onboarding,2024-03-20,1
E0000068,U00024,First_Action,2024-03-22,3
E0000069,U00024,Day1_Active,2024-03-23,4
E0000070,U00025,Install,2024-01-18,0
E0000071,U00025,Signup,2024-01-18,0
E0000072,U00026,Install,2024-02-12,0
E0000073,U00027,Install,2024-06-25,0
E0000074,U00027,Signup,2024-06-25,0
E0000075,U00027,Onboarding,2024-06-26,1
E0000076,U00028,Install,2024-05-12,0
E0000077,U00028,Signup,2024-05-12,0
E0000078,U00028,Onboarding,2024-05-13,1
E0000079,U00029,Install,2024-05-30,0
E0000080,U00029,Signup,2024-05-30,0
E0000081,U00030,Install,2024-03-25,0
E0000082,U00030,Signup,2024-03-25,0
E0000083,U00030,Onboarding,2024-03-26,1
E0000084,U00030,First_Action,2024-03-28,3
E0000085,U00031,Install,2024-05-26,0
E0000086,U00032,Install,2024-06-17,0
E0000087,U00032,Signup,2024-06-17,0
E0000088,U00032,Onboarding,2024-06-18,1
E0000089,U00033,Install,2024-06-14,0
E0000090,U00033,Signup,2024-06-14,0
E0000091,U00034,Install,2024-02-18,0
E0000092,U00034,Signup,2024-02-18,0
E0000093,U00034,Onboarding,2024-02-19,1
E0000094,U00035,Install,2024-01-20,0
E0000095,U00035,Signup,2024-01-20,0
E0000096,U00036,Install,2024-01-04,0
E0000097,U00036,Signup,2024-01-04,0
E0000098,U00036,Onboarding,2024-01-05,1
E0000099,U00036,First_Action,2024-01-07,3
E0000100,U00037,Install,2024-02-24,0
E0000101,U00038,Install,2024-04-26,0
E0000102,U00038,Signup,2024-04-26,0
E0000103,U00039,Install,2024-05-04,0
E0000104,U00039,Signup,2024-05-04,0
E0000105,U00039,Onboarding,2024-05-05,1
E0000106,U00040,Install,2024-03-21,0
E0000107,U00041,Install,2024-05-10,0
E0000108,U00041,Signup,2024-05-10,0
E0000109,U00041,Onboarding,2024-05-11,1
E0000110,U00041,First_Action,2024-05-13,3
E0000111,U00041,Day1_Active,2024-05-14,4
E0000112,U00042,Install,2024-01-31,0
E0000113,U00043,Install,2024-06-17,0
E0000114,U00043,Signup,2024-06-17,0
E0000115,U00043,Onboarding,2024-06-18,1
E0000116,U00044,Install,2024-03-02,0
E0000117,U00044,Signup,2024-03-02,0
E0000118,U00045,Install,2024-01-19,0
E0000119,U00046,Install,2024-05-09,0
E0000120,U00047,Install,2024-02-10,0
E0000121,U00047,Signup,2024-02-10,0
E0000122,U00048,Install,2024-05-15,0
E0000123,U00048,Signup,2024-05-15,0
E0000124,U00049,Install,2024-02-04,0
E0000125,U00050,Install,2024-02-23,0
E0000126,U00050,Signup,2024-02-23,0
E0000127,U00050,Onboarding,2024-02-24,1
E0000128,U00050,First_Action,2024-02-26,3
E0000129,U00051,Install,2024-01-14,0
E0000130,U00051,Signup,2024-01-14,0
